Method,Model 1,Model 2,Matches,Total Clusters,Match Rate (%)
standard,gpt-4o,gpt-4o,8.0,8,100.0
standard,gpt-4o,gpt-4o-2024-05-13,6.48,8,81.03
standard,gpt-4o,gpt-3.5-turbo,7.2,8,90.04
standard,gpt-4o,llama3.2-1b,4.48,8,55.94
standard,gpt-4o,Ground Truth,6.6,8,82.52
standard,gpt-4o-2024-05-13,gpt-4o-2024-05-13,8.0,8,100.0
standard,gpt-4o-2024-05-13,gpt-3.5-turbo,6.6,8,82.54
standard,gpt-4o-2024-05-13,llama3.2-1b,2.76,8,34.56
standard,gpt-4o-2024-05-13,Ground Truth,5.51,8,68.88
standard,gpt-3.5-turbo,gpt-3.5-turbo,8.0,8,100.0
standard,gpt-3.5-turbo,llama3.2-1b,3.33,8,41.56
standard,gpt-3.5-turbo,Ground Truth,6.15,8,76.85
standard,llama3.2-1b,llama3.2-1b,8.0,8,100.0
standard,llama3.2-1b,Ground Truth,4.43,8,55.4
standard,Ground Truth,Ground Truth,8.0,8,100.0
kneed,gpt-4o,gpt-4o,8.0,8,100.0
kneed,gpt-4o,gpt-4o-2024-05-13,5.19,8,64.86
kneed,gpt-4o,gpt-3.5-turbo,6.13,8,76.64
kneed,gpt-4o,llama3.2-1b,3.6,8,44.98
kneed,gpt-4o,Ground Truth,3.84,8,48.01
kneed,gpt-4o-2024-05-13,gpt-4o-2024-05-13,7.0,8,87.5
kneed,gpt-4o-2024-05-13,gpt-3.5-turbo,4.67,8,58.41
kneed,gpt-4o-2024-05-13,llama3.2-1b,3.71,8,46.39
kneed,gpt-4o-2024-05-13,Ground Truth,3.47,8,43.36
kneed,gpt-3.5-turbo,gpt-3.5-turbo,8.0,8,100.0
kneed,gpt-3.5-turbo,llama3.2-1b,2.98,8,37.24
kneed,gpt-3.5-turbo,Ground Truth,3.02,8,37.74
kneed,llama3.2-1b,llama3.2-1b,8.0,8,100.0
kneed,llama3.2-1b,Ground Truth,3.96,8,49.46
kneed,Ground Truth,Ground Truth,8.0,8,100.0
inflection,gpt-4o,gpt-4o,2.0,2,100.0
inflection,gpt-4o,gpt-4o-2024-05-13,1.0,2,50.0
inflection,gpt-4o,gpt-3.5-turbo,1.92,2,96.15
inflection,gpt-4o,llama3.2-1b,0.53,2,26.42
inflection,gpt-4o,Ground Truth,1.12,2,56.19
inflection,gpt-4o-2024-05-13,gpt-4o-2024-05-13,1.0,2,50.0
inflection,gpt-4o-2024-05-13,gpt-3.5-turbo,1.0,2,50.0
inflection,gpt-4o-2024-05-13,llama3.2-1b,0.2,2,9.76
inflection,gpt-4o-2024-05-13,Ground Truth,0.27,2,13.33
inflection,gpt-3.5-turbo,gpt-3.5-turbo,2.0,2,100.0
inflection,gpt-3.5-turbo,llama3.2-1b,0.43,2,21.52
inflection,gpt-3.5-turbo,Ground Truth,1.04,2,51.79
inflection,llama3.2-1b,llama3.2-1b,2.0,2,100.0
inflection,llama3.2-1b,Ground Truth,0.43,2,21.67
inflection,Ground Truth,Ground Truth,2.0,2,100.0
